target,window_index,unit,true_rul,pred_rul,true_fault,fault_probability,top_sensors,top_sensor_attributions,top_subsystems,suggested_actions
rul,6992,68,16.0,19.38641929626465,1.0,0.9016017317771912,s12;s11;s2,0.56493783;0.51348537;0.32418293,bypass and flow path;bypass and flow path;thermal core,inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior;inspect temperature instrumentation and hot-section condition
rul,3270,34,18.0,17.6790714263916,1.0,0.8985061645507812,s11;s12;s13,0.42429879;0.37943703;0.36362261,bypass and flow path;bypass and flow path;spool speed control,inspect bypass duct pressure behavior;inspect bypass flow and related instrumentation;inspect speed-control response and operating point
rul,5574,56,22.0,18.673845291137695,1.0,0.8965793251991272,s12;s13;s11,0.48418796;0.34407485;0.28546801,bypass and flow path;spool speed control;bypass and flow path,inspect bypass flow and related instrumentation;inspect speed-control response and operating point;inspect bypass duct pressure behavior
rul,8380,82,13.0,18.29386329650879,1.0,0.8961510062217712,s11;s12;s13,0.47421896;0.46445256;0.36475801,bypass and flow path;bypass and flow path;spool speed control,inspect bypass duct pressure behavior;inspect bypass flow and related instrumentation;inspect speed-control response and operating point
rul,8243,81,16.0,19.56333351135254,1.0,0.8954169750213623,s12;s2;s11,0.55029762;0.52542102;0.50899339,bypass and flow path;thermal core;bypass and flow path,inspect bypass flow and related instrumentation;inspect temperature instrumentation and hot-section condition;inspect bypass duct pressure behavior
rul,9192,91,39.0,18.5765438079834,0.0,0.8953427076339722,s12;s13;s2,0.56417209;0.36801556;0.36585659,bypass and flow path;spool speed control;thermal core,inspect bypass flow and related instrumentation;inspect speed-control response and operating point;inspect temperature instrumentation and hot-section condition
rul,10191,100,24.0,25.36007308959961,1.0,0.8925230503082275,s9;s14;s8,0.43219423;0.31805897;0.07826559,high-pressure spool;spool speed control;fan and low-pressure compressor,inspect high-pressure spool dynamics;inspect core-speed response and controller behavior;inspect fan/LPC operating margins
rul,3269,34,19.0,17.511327743530273,1.0,0.8910419344902039,s11;s12;s13,0.42052701;0.40393627;0.37999591,bypass and flow path;bypass and flow path;spool speed control,inspect bypass duct pressure behavior;inspect bypass flow and related instrumentation;inspect speed-control response and operating point
rul,6796,66,18.0,23.18488883972168,1.0,0.8875260949134827,s9;s14;s2,0.36554348;0.25778571;0.18323909,high-pressure spool;spool speed control;thermal core,inspect high-pressure spool dynamics;inspect core-speed response and controller behavior;inspect temperature instrumentation and hot-section condition
rul,9193,91,38.0,19.036029815673828,0.0,0.8850482702255249,s12;s2;s11,0.53496957;0.36413378;0.36323786,bypass and flow path;thermal core;bypass and flow path,inspect bypass flow and related instrumentation;inspect temperature instrumentation and hot-section condition;inspect bypass duct pressure behavior
rul,2237,24,24.0,25.66340446472168,1.0,0.884899914264679,s9;s14;s2,0.45052242;0.35356793;0.06631754,high-pressure spool;spool speed control;thermal core,inspect high-pressure spool dynamics;inspect core-speed response and controller behavior;inspect temperature instrumentation and hot-section condition
rul,3274,34,14.0,19.211271286010742,1.0,0.8828174471855164,s12;s13;s11,0.45302802;0.45219189;0.44236618,bypass and flow path;spool speed control;bypass and flow path,inspect bypass flow and related instrumentation;inspect speed-control response and operating point;inspect bypass duct pressure behavior
rul,9191,91,40.0,19.35456657409668,0.0,0.881503164768219,s12;s2;s13,0.55612195;0.38555521;0.37886983,bypass and flow path;thermal core;spool speed control,inspect bypass flow and related instrumentation;inspect temperature instrumentation and hot-section condition;inspect speed-control response and operating point
rul,4061,42,17.0,18.013399124145508,1.0,0.8804788589477539,s14;s13;s12,0.28037089;0.25590843;0.22244647,spool speed control;spool speed control;bypass and flow path,inspect core-speed response and controller behavior;inspect speed-control response and operating point;inspect bypass flow and related instrumentation
rul,3271,34,17.0,19.156965255737305,1.0,0.8789794445037842,s11;s13;s12,0.45481902;0.41586798;0.40093815,bypass and flow path;spool speed control;bypass and flow path,inspect bypass duct pressure behavior;inspect speed-control response and operating point;inspect bypass flow and related instrumentation
rul,5573,56,23.0,19.700834274291992,1.0,0.8774242997169495,s12;s13;s11,0.49225435;0.36570203;0.30655396,bypass and flow path;spool speed control;bypass and flow path,inspect bypass flow and related instrumentation;inspect speed-control response and operating point;inspect bypass duct pressure behavior
rul,3267,34,21.0,18.192461013793945,1.0,0.8755582571029663,s12;s11;s8,0.40686652;0.39844722;0.36086649,bypass and flow path;bypass and flow path;fan and low-pressure compressor,inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior;inspect fan/LPC operating margins
rul,3268,34,20.0,18.20045280456543,1.0,0.8735969066619873,s11;s12;s13,0.41795653;0.41529605;0.38945618,bypass and flow path;bypass and flow path;spool speed control,inspect bypass duct pressure behavior;inspect bypass flow and related instrumentation;inspect speed-control response and operating point
rul,3444,35,17.0,20.407732009887695,1.0,0.873322069644928,s12;s11;s2,0.54713541;0.48679316;0.48466027,bypass and flow path;bypass and flow path;thermal core,inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior;inspect temperature instrumentation and hot-section condition
rul,8240,81,19.0,20.526063919067383,1.0,0.8726794123649597,s12;s2;s11,0.62088472;0.52772564;0.49832636,bypass and flow path;thermal core;bypass and flow path,inspect bypass flow and related instrumentation;inspect temperature instrumentation and hot-section condition;inspect bypass duct pressure behavior
rul,6989,68,19.0,21.716644287109375,1.0,0.8725688457489014,s12;s11;s2,0.52679139;0.52322078;0.36940452,bypass and flow path;bypass and flow path;thermal core,inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior;inspect temperature instrumentation and hot-section condition
rul,4062,42,16.0,19.028717041015625,1.0,0.8689743280410767,s13;s14;s12,0.28288344;0.27892923;0.23065569,spool speed control;spool speed control;bypass and flow path,inspect speed-control response and operating point;inspect core-speed response and controller behavior;inspect bypass flow and related instrumentation
rul,6795,66,19.0,24.132051467895508,1.0,0.8670642971992493,s9;s14;s2,0.36366659;0.27016482;0.18636921,high-pressure spool;spool speed control;thermal core,inspect high-pressure spool dynamics;inspect core-speed response and controller behavior;inspect temperature instrumentation and hot-section condition
rul,10190,100,25.0,26.503862380981445,1.0,0.8665816187858582,s9;s14;s8,0.43038809;0.32386562;0.07042514,high-pressure spool;spool speed control;fan and low-pressure compressor,inspect high-pressure spool dynamics;inspect core-speed response and controller behavior;inspect fan/LPC operating margins
rul,6988,68,20.0,22.473928451538086,1.0,0.8650479912757874,s12;s11;s2,0.55722803;0.53361034;0.39007103,bypass and flow path;bypass and flow path;thermal core,inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior;inspect temperature instrumentation and hot-section condition
rul,6990,68,18.0,21.04923439025879,1.0,0.8648427724838257,s12;s11;s2,0.55096465;0.54595852;0.36190858,bypass and flow path;bypass and flow path;thermal core,inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior;inspect temperature instrumentation and hot-section condition
rul,9314,92,20.0,20.543188095092773,1.0,0.862614095211029,s12;s13;s11,0.47937781;0.36303598;0.34393597,bypass and flow path;spool speed control;bypass and flow path,inspect bypass flow and related instrumentation;inspect speed-control response and operating point;inspect bypass duct pressure behavior
rul,5572,56,24.0,20.502662658691406,1.0,0.8599295616149902,s12;s13;s11,0.49001536;0.36336163;0.30152494,bypass and flow path;spool speed control;bypass and flow path,inspect bypass flow and related instrumentation;inspect speed-control response and operating point;inspect bypass duct pressure behavior
rul,3443,35,18.0,20.773208618164062,1.0,0.8598520159721375,s12;s11;s2,0.53702968;0.49419796;0.48197088,bypass and flow path;bypass and flow path;thermal core,inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior;inspect temperature instrumentation and hot-section condition
rul,6793,66,21.0,24.409353256225586,1.0,0.8597975373268127,s9;s14;s2,0.38970974;0.28127614;0.19173440,high-pressure spool;spool speed control;thermal core,inspect high-pressure spool dynamics;inspect core-speed response and controller behavior;inspect temperature instrumentation and hot-section condition
rul,9190,91,41.0,20.30897331237793,0.0,0.859416127204895,s12;s2;s13,0.55914479;0.38198653;0.37996876,bypass and flow path;thermal core;spool speed control,inspect bypass flow and related instrumentation;inspect temperature instrumentation and hot-section condition;inspect speed-control response and operating point
rul,8379,82,14.0,20.284936904907227,1.0,0.8593640923500061,s11;s12;s13,0.52768838;0.46651304;0.40598753,bypass and flow path;bypass and flow path;spool speed control,inspect bypass duct pressure behavior;inspect bypass flow and related instrumentation;inspect speed-control response and operating point
rul,2960,31,18.0,22.300039291381836,1.0,0.8585142493247986,s11;s12;s2,0.48924583;0.43142286;0.42804447,bypass and flow path;bypass and flow path;thermal core,inspect bypass duct pressure behavior;inspect bypass flow and related instrumentation;inspect temperature instrumentation and hot-section condition
rul,3442,35,19.0,21.127456665039062,1.0,0.8560968637466431,s12;s11;s2,0.54516166;0.51464194;0.47350520,bypass and flow path;bypass and flow path;thermal core,inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior;inspect temperature instrumentation and hot-section condition
rul,7703,76,22.0,23.71955680847168,1.0,0.8558780550956726,s9;s11;s12,0.34544364;0.26931077;0.25871700,high-pressure spool;bypass and flow path;bypass and flow path,inspect high-pressure spool dynamics;inspect bypass duct pressure behavior;inspect bypass flow and related instrumentation
rul,3441,35,20.0,21.449169158935547,1.0,0.8548936247825623,s12;s11;s2,0.55541909;0.54017097;0.46869701,bypass and flow path;bypass and flow path;thermal core,inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior;inspect temperature instrumentation and hot-section condition
rul,3273,34,15.0,20.301036834716797,1.0,0.8528668284416199,s11;s13;s12,0.48680732;0.47056305;0.43527743,bypass and flow path;spool speed control;bypass and flow path,inspect bypass duct pressure behavior;inspect speed-control response and operating point;inspect bypass flow and related instrumentation
rul,4060,42,18.0,18.817115783691406,1.0,0.8521252274513245,s14;s13;s12,0.27902967;0.26996702;0.20521028,spool speed control;spool speed control;bypass and flow path,inspect core-speed response and controller behavior;inspect speed-control response and operating point;inspect bypass flow and related instrumentation
rul,1852,20,18.0,21.655630111694336,1.0,0.8491454720497131,s12;s11;s2,0.64475763;0.60988063;0.51144016,bypass and flow path;bypass and flow path;thermal core,inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior;inspect temperature instrumentation and hot-section condition
rul,6794,66,20.0,24.87638282775879,1.0,0.8477066159248352,s9;s14;s2,0.38208836;0.27686909;0.19991302,high-pressure spool;spool speed control;thermal core,inspect high-pressure spool dynamics;inspect core-speed response and controller behavior;inspect temperature instrumentation and hot-section condition
rul,3272,34,16.0,20.697614669799805,1.0,0.8473373055458069,s11;s13;s12,0.48201934;0.44776735;0.41592601,bypass and flow path;spool speed control;bypass and flow path,inspect bypass duct pressure behavior;inspect speed-control response and operating point;inspect bypass flow and related instrumentation
rul,3440,35,21.0,21.836488723754883,1.0,0.8450560569763184,s12;s11;s2,0.55853188;0.53365779;0.47570717,bypass and flow path;bypass and flow path;thermal core,inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior;inspect temperature instrumentation and hot-section condition
rul,3266,34,22.0,19.49736976623535,1.0,0.8426265120506287,s11;s12;s2,0.41123646;0.40912145;0.38821685,bypass and flow path;bypass and flow path;thermal core,inspect bypass duct pressure behavior;inspect bypass flow and related instrumentation;inspect temperature instrumentation and hot-section condition
fault,7715,76,10.0,11.68380069732666,1.0,0.9875620603561401,s9;s2;s12,0.03212457;0.02981808;0.02889982,high-pressure spool;thermal core;bypass and flow path,inspect high-pressure spool dynamics;inspect temperature instrumentation and hot-section condition;inspect bypass flow and related instrumentation
fault,7714,76,11.0,12.260746002197266,1.0,0.9859691858291626,s9;s12;s2,0.03443283;0.03311165;0.03124192,high-pressure spool;bypass and flow path;thermal core,inspect high-pressure spool dynamics;inspect bypass flow and related instrumentation;inspect temperature instrumentation and hot-section condition
fault,8251,81,8.0,9.029062271118164,1.0,0.985602617263794,s2;s12;s11,0.04747079;0.04717895;0.03525092,thermal core;bypass and flow path;bypass and flow path,inspect temperature instrumentation and hot-section condition;inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior
fault,7000,68,8.0,10.150555610656738,1.0,0.9834919571876526,s12;s2;s11,0.05328028;0.05006695;0.04329835,bypass and flow path;thermal core;bypass and flow path,inspect bypass flow and related instrumentation;inspect temperature instrumentation and hot-section condition;inspect bypass duct pressure behavior
fault,7713,76,12.0,13.452095031738281,1.0,0.9826834201812744,s12;s9;s2,0.03932460;0.03918934;0.03302960,bypass and flow path;high-pressure spool;thermal core,inspect bypass flow and related instrumentation;inspect high-pressure spool dynamics;inspect temperature instrumentation and hot-section condition
fault,6999,68,9.0,10.402432441711426,1.0,0.9819336533546448,s12;s2;s11,0.05781513;0.05345140;0.04702519,bypass and flow path;thermal core;bypass and flow path,inspect bypass flow and related instrumentation;inspect temperature instrumentation and hot-section condition;inspect bypass duct pressure behavior
fault,3281,34,7.0,7.77782678604126,1.0,0.9806489944458008,s12;s11;s2,0.02892409;0.02480141;0.02365401,bypass and flow path;bypass and flow path;thermal core,inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior;inspect temperature instrumentation and hot-section condition
fault,8250,81,9.0,10.862943649291992,1.0,0.9804847836494446,s12;s2;s11,0.05554759;0.04994044;0.04191239,bypass and flow path;thermal core;bypass and flow path,inspect bypass flow and related instrumentation;inspect temperature instrumentation and hot-section condition;inspect bypass duct pressure behavior
fault,3280,34,8.0,7.949533939361572,1.0,0.9803004264831543,s12;s11;s2,0.02871740;0.02518051;0.02373574,bypass and flow path;bypass and flow path;thermal core,inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior;inspect temperature instrumentation and hot-section condition
fault,7712,76,13.0,14.257037162780762,1.0,0.9795849323272705,s12;s9;s2,0.04081074;0.03989210;0.03302753,bypass and flow path;high-pressure spool;thermal core,inspect bypass flow and related instrumentation;inspect high-pressure spool dynamics;inspect temperature instrumentation and hot-section condition
fault,2968,31,10.0,12.060859680175781,1.0,0.979486882686615,s12;s2;s11,0.04928095;0.04716048;0.04043734,bypass and flow path;thermal core;bypass and flow path,inspect bypass flow and related instrumentation;inspect temperature instrumentation and hot-section condition;inspect bypass duct pressure behavior
fault,6998,68,10.0,11.176876068115234,1.0,0.9794753789901733,s12;s2;s11,0.05803496;0.05228221;0.05221893,bypass and flow path;thermal core;bypass and flow path,inspect bypass flow and related instrumentation;inspect temperature instrumentation and hot-section condition;inspect bypass duct pressure behavior
fault,2969,31,9.0,11.757065773010254,1.0,0.9791881442070007,s12;s2;s11,0.05212087;0.04894188;0.03956167,bypass and flow path;thermal core;bypass and flow path,inspect bypass flow and related instrumentation;inspect temperature instrumentation and hot-section condition;inspect bypass duct pressure behavior
fault,3279,34,9.0,8.207914352416992,1.0,0.9788458347320557,s12;s11;s2,0.02878794;0.02628664;0.02331155,bypass and flow path;bypass and flow path;thermal core,inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior;inspect temperature instrumentation and hot-section condition
fault,2970,31,8.0,11.822098731994629,1.0,0.9784648418426514,s12;s2;s11,0.05913214;0.05307462;0.03745097,bypass and flow path;thermal core;bypass and flow path,inspect bypass flow and related instrumentation;inspect temperature instrumentation and hot-section condition;inspect bypass duct pressure behavior
fault,3450,35,11.0,12.217622756958008,1.0,0.97662353515625,s12;s2;s11,0.06539235;0.06447809;0.05618127,bypass and flow path;thermal core;bypass and flow path,inspect bypass flow and related instrumentation;inspect temperature instrumentation and hot-section condition;inspect bypass duct pressure behavior
fault,2967,31,11.0,12.737658500671387,1.0,0.9762412905693054,s12;s2;s11,0.05488050;0.05213813;0.04606284,bypass and flow path;thermal core;bypass and flow path,inspect bypass flow and related instrumentation;inspect temperature instrumentation and hot-section condition;inspect bypass duct pressure behavior
fault,3278,34,10.0,9.886460304260254,1.0,0.9752442240715027,s12;s11;s2,0.03069708;0.02875210;0.02410286,bypass and flow path;bypass and flow path;thermal core,inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior;inspect temperature instrumentation and hot-section condition
fault,7711,76,14.0,15.42790699005127,1.0,0.9733006954193115,s9;s12;s11,0.04353527;0.03984505;0.03596687,high-pressure spool;bypass and flow path;bypass and flow path,inspect high-pressure spool dynamics;inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior
fault,6997,68,11.0,12.512479782104492,1.0,0.9730139374732971,s12;s11;s2,0.06463070;0.06053151;0.05479131,bypass and flow path;bypass and flow path;thermal core,inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior;inspect temperature instrumentation and hot-section condition
fault,8249,81,10.0,12.758360862731934,1.0,0.9728225469589233,s12;s2;s11,0.06610094;0.06021143;0.05327362,bypass and flow path;thermal core;bypass and flow path,inspect bypass flow and related instrumentation;inspect temperature instrumentation and hot-section condition;inspect bypass duct pressure behavior
fault,3277,34,11.0,11.599331855773926,1.0,0.9703382253646851,s12;s11;s13,0.03679867;0.03586955;0.03032875,bypass and flow path;bypass and flow path;spool speed control,inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior;inspect speed-control response and operating point
fault,3449,35,12.0,13.884373664855957,1.0,0.9686446785926819,s12;s2;s11,0.07698859;0.07296242;0.06293542,bypass and flow path;thermal core;bypass and flow path,inspect bypass flow and related instrumentation;inspect temperature instrumentation and hot-section condition;inspect bypass duct pressure behavior
fault,7710,76,15.0,16.621206283569336,1.0,0.9655570387840271,s9;s12;s11,0.04975961;0.04018988;0.03833528,high-pressure spool;bypass and flow path;bypass and flow path,inspect high-pressure spool dynamics;inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior
fault,6996,68,12.0,13.716076850891113,1.0,0.9649977684020996,s12;s11;s2,0.07156437;0.07130555;0.05750770,bypass and flow path;bypass and flow path;thermal core,inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior;inspect temperature instrumentation and hot-section condition
fault,8384,82,9.0,12.38408374786377,1.0,0.9638579487800598,s11;s12;s13,0.04231885;0.04177697;0.03153605,bypass and flow path;bypass and flow path;spool speed control,inspect bypass duct pressure behavior;inspect bypass flow and related instrumentation;inspect speed-control response and operating point
fault,8248,81,11.0,14.587285041809082,1.0,0.96195387840271,s12;s2;s11,0.08310506;0.07520243;0.06771290,bypass and flow path;thermal core;bypass and flow path,inspect bypass flow and related instrumentation;inspect temperature instrumentation and hot-section condition;inspect bypass duct pressure behavior
fault,6800,66,14.0,18.520143508911133,1.0,0.9614156484603882,s9;s14;s2,0.05830059;0.04343448;0.03524867,high-pressure spool;spool speed control;thermal core,inspect high-pressure spool dynamics;inspect core-speed response and controller behavior;inspect temperature instrumentation and hot-section condition
fault,10195,100,20.0,20.281898498535156,1.0,0.9611672163009644,s9;s14;s2,0.08830191;0.06863626;0.01586428,high-pressure spool;spool speed control;thermal core,inspect high-pressure spool dynamics;inspect core-speed response and controller behavior;inspect temperature instrumentation and hot-section condition
fault,2966,31,12.0,15.30700397491455,1.0,0.9609894752502441,s12;s11;s2,0.06805410;0.06081354;0.05985387,bypass and flow path;bypass and flow path;thermal core,inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior;inspect temperature instrumentation and hot-section condition
fault,5581,56,15.0,12.779342651367188,1.0,0.9603613018989563,s12;s2;s13,0.05352036;0.04003675;0.03989552,bypass and flow path;thermal core;spool speed control,inspect bypass flow and related instrumentation;inspect temperature instrumentation and hot-section condition;inspect speed-control response and operating point
fault,5580,56,16.0,13.07516098022461,1.0,0.9600270390510559,s12;s2;s13,0.05234764;0.04135372;0.04083019,bypass and flow path;thermal core;spool speed control,inspect bypass flow and related instrumentation;inspect temperature instrumentation and hot-section condition;inspect speed-control response and operating point
fault,5579,56,17.0,13.391032218933105,1.0,0.9594386219978333,s12;s2;s13,0.05230653;0.04296529;0.03987350,bypass and flow path;thermal core;spool speed control,inspect bypass flow and related instrumentation;inspect temperature instrumentation and hot-section condition;inspect speed-control response and operating point
fault,3276,34,12.0,13.87397289276123,1.0,0.957876443862915,s11;s12;s13,0.05100118;0.04874055;0.04352471,bypass and flow path;bypass and flow path;spool speed control,inspect bypass duct pressure behavior;inspect bypass flow and related instrumentation;inspect speed-control response and operating point
fault,7709,76,16.0,17.65012550354004,1.0,0.9576016664505005,s9;s12;s14,0.05720220;0.04395943;0.04143038,high-pressure spool;bypass and flow path;spool speed control,inspect high-pressure spool dynamics;inspect bypass flow and related instrumentation;inspect core-speed response and controller behavior
fault,3448,35,13.0,15.643430709838867,1.0,0.9553596377372742,s12;s2;s11,0.09549351;0.08326532;0.06945154,bypass and flow path;thermal core;bypass and flow path,inspect bypass flow and related instrumentation;inspect temperature instrumentation and hot-section condition;inspect bypass duct pressure behavior
fault,6799,66,15.0,19.363712310791016,1.0,0.9549329876899719,s9;s14;s2,0.06659194;0.04818680;0.03660755,high-pressure spool;spool speed control;thermal core,inspect high-pressure spool dynamics;inspect core-speed response and controller behavior;inspect temperature instrumentation and hot-section condition
fault,8383,82,10.0,13.45323657989502,1.0,0.9545179009437561,s12;s11;s13,0.05418226;0.05325611;0.03735787,bypass and flow path;bypass and flow path;spool speed control,inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior;inspect speed-control response and operating point
fault,8247,81,12.0,15.663476943969727,1.0,0.9539735317230225,s12;s2;s11,0.09207959;0.08438006;0.07710645,bypass and flow path;thermal core;bypass and flow path,inspect bypass flow and related instrumentation;inspect temperature instrumentation and hot-section condition;inspect bypass duct pressure behavior
fault,6995,68,13.0,15.299605369567871,1.0,0.9522265195846558,s12;s11;s2,0.07661755;0.07366955;0.05391162,bypass and flow path;bypass and flow path;thermal core,inspect bypass flow and related instrumentation;inspect bypass duct pressure behavior;inspect temperature instrumentation and hot-section condition
fault,5578,56,18.0,14.27608585357666,1.0,0.9513991475105286,s12;s2;s13,0.06056761;0.04621262;0.04038200,bypass and flow path;thermal core;spool speed control,inspect bypass flow and related instrumentation;inspect temperature instrumentation and hot-section condition;inspect speed-control response and operating point
fault,7708,76,17.0,18.26387596130371,1.0,0.9489261507987976,s9;s12;s14,0.06204788;0.04488104;0.04460890,high-pressure spool;bypass and flow path;spool speed control,inspect high-pressure spool dynamics;inspect bypass flow and related instrumentation;inspect core-speed response and controller behavior
