experiment,round,defense,noise_multiplier,train_loss,test_rmse,test_mae,test_nasa_score,test_auroc,test_auprc,test_precision,test_recall,test_f1,test_tn,test_fp,test_fn,test_tp
no_defense,1,no_defense,0.0,7181.794766164827,99.97801027757303,95.46761322021484,46222753.5291196,0.9794369082168088,0.7033109060693756,0.0,0.0,0.0,9864,0,332,0
no_defense,2,no_defense,0.0,6567.205742876553,96.79277256237937,92.12909698486328,35757383.92283188,0.905091625626594,0.6190579070388573,0.0,0.0,0.0,9864,0,332,0
no_defense,3,no_defense,0.0,6101.438413169017,93.37378680604102,88.56232452392578,27106984.123037893,0.9140412013015566,0.6454674356203719,0.0,0.0,0.0,9864,0,332,0
no_defense,4,no_defense,0.0,5623.290284682106,89.71597979875158,84.7605209350586,20128286.633829527,0.9156064647885949,0.6804741893125722,0.0,0.0,0.0,9864,0,332,0
no_defense,5,no_defense,0.0,5137.608991830964,85.82046291805207,80.73462677001953,14633286.361117529,0.9317217165498979,0.6876243502673619,0.9078947368421053,0.20783132530120482,0.3382352941176471,9857,7,263,69
no_defense,6,no_defense,0.0,4647.338082982251,81.6929930727691,76.47982025146484,10418029.899769826,0.9073863886201741,0.6932056839676101,0.8466257668711656,0.41566265060240964,0.5575757575757576,9839,25,194,138
no_defense,7,no_defense,0.0,4151.223955990718,77.34453598085484,72.04364776611328,7271259.1020973,0.6746244405847233,0.5747430122604746,0.9166666666666666,0.13253012048192772,0.23157894736842105,9860,4,288,44
no_defense,8,no_defense,0.0,3668.992594586114,72.79246975026847,67.42552185058594,4970532.203636313,0.9287857024203872,0.7239947675260542,0.8,0.5903614457831325,0.6793760831889082,9815,49,136,196
no_defense,9,no_defense,0.0,3205.077970882646,68.05771476520866,62.68626022338867,3336244.076534738,0.9466764564340087,0.7633069864838694,0.8054474708171206,0.6234939759036144,0.7028862478777589,9814,50,125,207
no_defense,10,no_defense,0.0,2759.5987027258634,63.15115485385046,57.84661102294922,2194911.6624191655,0.9796666898738506,0.7936676161481832,0.7459807073954984,0.6987951807228916,0.7216174183514774,9785,79,100,232
no_defense,11,no_defense,0.0,2345.5992197461774,58.130957775983056,52.977333068847656,1420888.4569973364,0.982556747671953,0.79362826472244,0.7106741573033708,0.7620481927710844,0.7354651162790697,9761,103,79,253
no_defense,12,no_defense,0.0,1954.3524769805317,52.92227173603874,48.00886535644531,900138.3322075487,0.983551297648013,0.8040306848647655,0.7889273356401384,0.6867469879518072,0.7342995169082126,9803,61,104,228
no_defense,13,no_defense,0.0,1599.9004849261,47.63593060669252,43.02579879760742,562122.0432258586,0.9852209934629027,0.8082595365103181,0.7625,0.7349397590361446,0.7484662576687117,9788,76,88,244
no_defense,14,no_defense,0.0,1284.9485540734684,42.33633468281117,38.150691986083984,349571.00243295974,0.9856152102326581,0.8102397252754449,0.7709677419354839,0.7198795180722891,0.7445482866043613,9793,71,93,239
no_defense,15,no_defense,0.0,1006.0643329311399,37.053874615530255,33.40317153930664,219766.4470012332,0.9859660662113173,0.8073017874729881,0.8078291814946619,0.6837349397590361,0.7406199021207178,9810,54,105,227
no_defense,16,no_defense,0.0,777.7824772830198,31.973820467884348,28.794294357299805,147624.19357923247,0.9864824260545833,0.813178363033042,0.7814569536423841,0.7108433734939759,0.7444794952681388,9798,66,96,236
no_defense,17,no_defense,0.0,591.6139923036708,27.262049819328745,24.51650047302246,115922.86416867396,0.9863242507743871,0.8131063863318383,0.8295454545454546,0.6596385542168675,0.7348993288590604,9819,45,113,219
no_defense,18,no_defense,0.0,451.6261204161998,23.124526230366456,20.563190460205078,109025.44349440855,0.9879160803799139,0.8146864197033415,0.8115942028985508,0.6746987951807228,0.7368421052631579,9812,52,108,224
no_defense,19,no_defense,0.0,361.6882998234492,20.046032383158533,17.342802047729492,114624.81143742107,0.9893540097128173,0.8151266314951099,0.7978723404255319,0.677710843373494,0.7328990228013029,9807,57,107,225
no_defense,20,no_defense,0.0,312.67410628698224,18.253097480344348,15.224244117736816,115995.84295553066,0.9912301273219398,0.8159092899046466,0.8007246376811594,0.6656626506024096,0.7269736842105263,9809,55,111,221
no_defense,21,no_defense,0.0,278.8219421468814,17.032544568058253,13.5916109085083,122161.69150001758,0.9924793456062694,0.8395678474108392,0.8115942028985508,0.6746987951807228,0.7368421052631579,9812,52,108,224
no_defense,22,no_defense,0.0,243.2504369981811,16.223419516868585,12.515456199645996,100600.27482674066,0.9938375765837071,0.8561706239342096,0.8033333333333333,0.7259036144578314,0.7626582278481012,9805,59,91,241
no_defense,23,no_defense,0.0,213.60944464316435,15.149916121751096,11.60464096069336,66105.13580873201,0.9945173027877935,0.8656819645186811,0.8262411347517731,0.7018072289156626,0.758957654723127,9815,49,99,233
no_defense,24,no_defense,0.0,203.09710868562468,14.867741200113576,11.210114479064941,63661.50664186517,0.995281613070286,0.8797870818889264,0.8714859437751004,0.6536144578313253,0.7469879518072289,9832,32,115,217
no_defense,25,no_defense,0.0,187.3171534010363,14.552800824611746,10.605551719665527,61455.78377868254,0.9953802436021458,0.8819220744331457,0.8444444444444444,0.6867469879518072,0.7574750830564784,9822,42,104,228
no_defense,26,no_defense,0.0,189.76156417918585,14.38839442623947,10.315834045410156,60198.799185972086,0.9961979914792992,0.9009728648927985,0.8821292775665399,0.6987951807228916,0.7798319327731092,9833,31,100,232
no_defense,27,no_defense,0.0,183.0697496673702,14.39810685323009,10.12972640991211,57994.59084668077,0.9964404454802177,0.9019184316817759,0.8240740740740741,0.8042168674698795,0.8140243902439024,9807,57,65,267
no_defense,28,no_defense,0.0,172.75300393066556,14.278099330211933,10.277657508850098,47767.649518385835,0.996360747124752,0.9009556943409546,0.8438538205980066,0.7650602409638554,0.8025276461295419,9817,47,78,254
no_defense,29,no_defense,0.0,170.01837533270185,14.095325187404223,10.08073902130127,52128.902120696555,0.9965607564076256,0.9105594276394318,0.930327868852459,0.6837349397590361,0.7881944444444444,9847,17,105,227
no_defense,30,no_defense,0.0,165.46233932075512,14.216114110073294,10.19079303741455,53569.426068267574,0.9961512717536812,0.9031131745154001,0.9,0.7048192771084337,0.7905405405405406,9838,26,98,234
update_clipping,1,update_clipping,0.0,7157.485878199257,106.8292345360693,102.62926483154297,79998944.68225041,0.7661802929479475,0.168116423739102,0.425531914893617,0.12048192771084337,0.18779342723004694,9810,54,292,40
update_clipping,2,update_clipping,0.0,7033.909953412197,105.38423002280749,101.13888549804688,71211188.23696736,0.7791950954670263,0.18651924662517214,1.0,0.0030120481927710845,0.006006006006006006,9864,0,331,1
update_clipping,3,update_clipping,0.0,6927.527188736635,103.93492555440639,99.6358642578125,63400313.27138016,0.782363334115049,0.18153418141518077,0.0,0.0,0.0,9864,0,332,0
update_clipping,4,update_clipping,0.0,6841.487499461742,102.63354486350941,98.27664947509766,57138635.4041773,0.7460506563968771,0.1406283403236775,0.0,0.0,0.0,9864,0,332,0
update_clipping,5,update_clipping,0.0,6763.16322237812,101.55737006275073,97.14424896240234,52437088.91646923,0.7122765697827808,0.12600683464784768,0.0,0.0,0.0,9864,0,332,0
update_clipping,6,update_clipping,0.0,6687.882420516393,100.69010898233749,96.2265625,48928223.70799952,0.6799643830797643,0.11865020996646701,0.0,0.0,0.0,9864,0,332,0
update_clipping,7,update_clipping,0.0,6612.381552189037,99.94296713469888,95.43529510498047,46087422.643451534,0.6130858592520936,0.1093030151403669,0.0,0.0,0.0,9864,0,332,0
update_clipping,8,update_clipping,0.0,6531.294455238962,99.21961613795177,94.67140197753906,43487284.71772345,0.5932177615571776,0.1331982031453035,0.0,0.0,0.0,9864,0,332,0
update_clipping,9,update_clipping,0.0,6437.14405588374,98.4236200531915,93.83588409423828,40785524.81881737,0.6769465330910015,0.304296637755969,0.0,0.0,0.0,9864,0,332,0
update_clipping,10,update_clipping,0.0,6324.831858776311,97.45027778628956,92.81759643554688,37703888.35173326,0.7871956194608116,0.60051122101786,0.0,0.0,0.0,9864,0,332,0
update_clipping,11,update_clipping,0.0,6187.440577238612,96.27052338008244,91.58450317382812,34276415.64005971,0.8707178165215608,0.7208687214433789,0.0,0.0,0.0,9864,0,332,0
update_clipping,12,update_clipping,0.0,6021.496986420698,94.96401970779512,90.22078704833984,30837168.741912086,0.9251991237455905,0.7604660781565511,0.0,0.0,0.0,9864,0,332,0
update_clipping,13,update_clipping,0.0,5837.969465023947,93.67339578623698,88.87696075439453,27772078.500645842,0.953818925336382,0.7711215361421776,0.0,0.0,0.0,9864,0,332,0
update_clipping,14,update_clipping,0.0,5658.738891277122,92.52209934489976,87.67713165283203,25293382.16440718,0.9576274990472841,0.7581141591421219,0.0,0.0,0.0,9864,0,332,0
update_clipping,15,update_clipping,0.0,5500.647252792343,91.29555262819487,86.39746856689453,22893041.403136034,0.953757548441943,0.7386818943189446,1.0,0.045180722891566265,0.08645533141210375,9864,0,317,15
update_clipping,16,update_clipping,0.0,5331.329506287438,89.89361659588238,84.93458557128906,20422909.615011703,0.9527040644329141,0.7266885411899522,0.9574468085106383,0.1355421686746988,0.23746701846965698,9862,2,287,45
update_clipping,17,update_clipping,0.0,5148.055179242619,88.31303354845903,83.28826141357422,17951616.434668932,0.9534381443047129,0.7275934733767488,0.9154929577464789,0.19578313253012047,0.3225806451612903,9858,6,267,65
update_clipping,18,update_clipping,0.0,4945.195322541747,86.55716364417795,81.46533203125,15549410.406063585,0.9566935625714537,0.7328016136387415,0.9108910891089109,0.27710843373493976,0.42494226327944573,9855,9,240,92
update_clipping,19,update_clipping,0.0,4723.857960362232,84.63803906193716,79.48379516601562,13284009.851296451,0.9635975471227977,0.7461482806271431,0.8897058823529411,0.3644578313253012,0.5170940170940171,9849,15,211,121
update_clipping,20,update_clipping,0.0,4491.528281633769,82.62359350164455,77.4126205444336,11254446.706645293,0.9521556420328516,0.7496641547876651,0.8698224852071006,0.4427710843373494,0.5868263473053892,9842,22,185,147
update_clipping,21,update_clipping,0.0,4251.429746651487,80.5908963725122,75.32219696044922,9516801.72084766,0.9619495317034562,0.7619582940217909,0.84375,0.4879518072289157,0.6183206106870229,9834,30,170,162
update_clipping,22,update_clipping,0.0,4021.2714301268375,78.44712341364087,73.13771057128906,7967895.504178174,0.9729923343007064,0.7685406345096584,0.8294930875576036,0.5421686746987951,0.6557377049180327,9827,37,152,180
update_clipping,23,update_clipping,0.0,3783.446010159531,76.21347742115563,70.87210845947266,6617042.958810066,0.980600626349681,0.779128166385452,0.7901234567901234,0.5783132530120482,0.6678260869565218,9813,51,140,192
update_clipping,24,update_clipping,0.0,3551.2920585582606,74.01304717645228,68.63667297363281,5507896.037477903,0.980962475204956,0.7888296640133626,0.7913385826771654,0.6054216867469879,0.6860068259385665,9811,53,131,201
update_clipping,25,update_clipping,0.0,3325.8547071173134,71.7888410222125,66.39860534667969,4571092.485940218,0.9813521116094549,0.7935198938902436,0.7873134328358209,0.6355421686746988,0.7033333333333334,9807,57,121,211
update_clipping,26,update_clipping,0.0,3106.7589429679574,69.42013241961045,64.03937530517578,3743465.7388169924,0.9826379728158374,0.7931775717904685,0.7773851590106007,0.6626506024096386,0.7154471544715447,9801,63,112,220
update_clipping,27,update_clipping,0.0,2884.3619226875853,67.18091174093836,61.81724548339844,3096246.4757481865,0.9851736630219173,0.7977521553022513,0.7666666666666667,0.6927710843373494,0.7278481012658228,9794,70,102,230
update_clipping,28,update_clipping,0.0,2680.207268734571,64.79497035722565,59.466495513916016,2526113.605394128,0.9883841937091431,0.7985433599978663,0.7389937106918238,0.7078313253012049,0.7230769230769231,9781,83,97,235
update_clipping,29,update_clipping,0.0,2471.300047359285,62.47188234705575,57.186519622802734,2070011.950636659,0.9887310800379132,0.8023823282360301,0.7283950617283951,0.7108433734939759,0.7195121951219512,9776,88,96,236
update_clipping,30,update_clipping,0.0,2284.1826589055145,60.021075806883246,54.80123519897461,1675347.3291061814,0.9887228353804512,0.803670638766063,0.7331288343558282,0.7198795180722891,0.7264437689969605,9777,87,93,239
clipping_noise_0.1,1,clipping_noise,0.1,7224.884196910445,107.49213724878904,103.2748031616211,84759688.64510565,0.1496799240758655,0.017889254511828292,0.032561788936837976,1.0,0.06306990881458967,0,9864,0,332
clipping_noise_0.1,2,clipping_noise,0.1,7103.458095180433,106.06809796658936,101.80500030517578,75565158.49173889,0.2878093884052023,0.020708980449251974,0.030421294906434505,0.9156626506024096,0.058886198547215496,175,9689,28,304
clipping_noise_0.1,3,clipping_noise,0.1,6996.078538728296,104.63162688092926,100.32106018066406,67296036.88894652,0.5103795657080878,0.04804947811642971,0.037825059101654845,0.3373493975903614,0.06802307925903432,7015,2849,220,112
clipping_noise_0.1,4,clipping_noise,0.1,6906.366947659885,103.27042776129089,98.91119384765625,60292267.589712635,0.723704581098115,0.2110389274024823,1.0,0.009036144578313253,0.01791044776119403,9864,0,329,3
clipping_noise_0.1,5,clipping_noise,0.1,6821.937754897573,102.10386485706601,97.69801330566406,54869928.98736571,0.8687241362041842,0.42034380643971403,0.0,0.0,0.0,9864,0,332,0
clipping_noise_0.1,6,clipping_noise,0.1,6744.636997114731,101.14675484475515,96.69551849365234,50793642.4706487,0.9280879601129579,0.5438752348873864,0.0,0.0,0.0,9864,0,332,0
clipping_noise_0.1,7,clipping_noise,0.1,6668.761534784482,100.34270865233557,95.84938049316406,47608624.60488939,0.9488020512707765,0.6353008432918115,0.0,0.0,0.0,9864,0,332,0
clipping_noise_0.1,8,clipping_noise,0.1,6585.613570016516,99.59973115080432,95.0669937133789,44845853.25725642,0.9591858919864371,0.7036899266405406,0.0,0.0,0.0,9864,0,332,0
clipping_noise_0.1,9,clipping_noise,0.1,6493.898884841046,98.81462481902666,94.24286651611328,42097745.182972305,0.9549927202728188,0.7365169057566587,0.0,0.0,0.0,9864,0,332,0
clipping_noise_0.1,10,clipping_noise,0.1,6381.258644918537,97.87635196224622,93.26107788085938,39028394.121652104,0.9555359515922571,0.7602390664408841,0.0,0.0,0.0,9864,0,332,0
clipping_noise_0.1,11,clipping_noise,0.1,6248.423232136154,96.76631504073357,92.10126495361328,35680865.587827384,0.9520974713940922,0.7720730274904497,0.0,0.0,0.0,9864,0,332,0
clipping_noise_0.1,12,clipping_noise,0.1,6091.59237541041,95.48479816016527,90.76372528076172,32166509.115331616,0.942848187152503,0.7675489731123999,0.0,0.0,0.0,9864,0,332,0
clipping_noise_0.1,13,clipping_noise,0.1,5910.707429392521,94.20991874034549,89.4342269897461,29009281.617511567,0.9514227835917881,0.766722840059662,0.0,0.0,0.0,9864,0,332,0
clipping_noise_0.1,14,clipping_noise,0.1,5731.775672519189,92.92687081954551,88.0976333618164,26139968.362544276,0.958840685124928,0.766271915185754,0.0,0.0,0.0,9864,0,332,0
clipping_noise_0.1,15,clipping_noise,0.1,5557.630967687165,91.72306207921484,86.8433837890625,23703493.612187646,0.952638717888586,0.7596470879968045,0.0,0.0,0.0,9864,0,332,0
clipping_noise_0.1,16,clipping_noise,0.1,5390.818609910475,90.44659702864725,85.51323699951172,21364219.956516284,0.9370433375839123,0.7482340686806855,1.0,0.0391566265060241,0.07536231884057971,9864,0,319,13
clipping_noise_0.1,17,clipping_noise,0.1,5221.813504435249,89.06193804647275,84.07125091552734,19083700.924974684,0.9220812691153909,0.7328003189660396,1.0,0.08433734939759036,0.15555555555555556,9864,0,304,28
clipping_noise_0.1,18,clipping_noise,0.1,5044.911856041735,87.5198470794625,82.46650695800781,16825098.58454122,0.9279398616363262,0.7340154799234674,1.0,0.12951807228915663,0.22933333333333333,9864,0,289,43
clipping_noise_0.1,19,clipping_noise,0.1,4844.414516012128,85.84029161217067,80.72515106201172,14663629.216228243,0.9360742849744477,0.7411616704962467,0.9482758620689655,0.16566265060240964,0.28205128205128205,9861,3,277,55
clipping_noise_0.1,20,clipping_noise,0.1,4637.4902613244585,84.10694979552076,78.93423461914062,12719024.241795685,0.9461669671386276,0.7485310665627014,0.9186046511627907,0.23795180722891565,0.37799043062200954,9857,7,253,79
clipping_noise_0.1,21,clipping_noise,0.1,4430.428389559422,82.22548729997743,76.99480438232422,10894065.22678198,0.9673476448372565,0.7670291503769008,0.9016393442622951,0.3313253012048193,0.4845814977973568,9852,12,222,110
clipping_noise_0.1,22,clipping_noise,0.1,4206.756130493409,80.32373766223314,75.04116821289062,9311695.327442614,0.9628060600064492,0.7792161755760614,0.9090909090909091,0.3614457831325301,0.5172413793103449,9852,12,212,120
clipping_noise_0.1,23,clipping_noise,0.1,3992.0843425342728,78.37894041629582,73.049072265625,7926290.165739707,0.9758028464221851,0.7920867447326508,0.8926553672316384,0.4759036144578313,0.6208251473477406,9845,19,174,158
clipping_noise_0.1,24,clipping_noise,0.1,3778.6776004302874,76.30380401927874,70.94149780273438,6669968.132299227,0.9811765309412833,0.7981434009437421,0.8348623853211009,0.5481927710843374,0.6618181818181819,9828,36,150,182
clipping_noise_0.1,25,clipping_noise,0.1,3556.1482376138083,74.22896311308511,68.84663391113281,5609414.688440642,0.9821057343730152,0.8006586403793766,0.825531914893617,0.5843373493975904,0.6843033509700176,9823,41,138,194
clipping_noise_0.1,26,clipping_noise,0.1,3342.951819419121,72.06282523777429,66.66697692871094,4678472.161688129,0.9825338458456698,0.8049317040831779,0.8127490039840638,0.6144578313253012,0.6998284734133791,9817,47,128,204
clipping_noise_0.1,27,clipping_noise,0.1,3129.321713617598,69.92772147345251,64.53150177001953,3908537.345867058,0.9829131000889202,0.806893731274039,0.7898550724637681,0.6566265060240963,0.7171052631578947,9806,58,114,218
clipping_noise_0.1,28,clipping_noise,0.1,2929.262341218256,67.77018048730024,62.398563385009766,3255330.9521760764,0.9830328003009605,0.8014199224404439,0.7524752475247525,0.6867469879518072,0.7181102362204724,9789,75,104,228
clipping_noise_0.1,29,clipping_noise,0.1,2731.5107069460373,65.54707054500034,60.19994354248047,2694258.3726791,0.9856262031092742,0.7994009839296529,0.7348242811501597,0.6927710843373494,0.7131782945736435,9781,83,102,230
